id,pop,state,lat,lon,state,city
01754,10325,MA,-71.454975,42.432118,MA,MAYNARD
01756,4010,MA,-71.549882,42.096744,MA,MENDON
01757,25372,MA,-71.527402,42.151142,MA,MILFORD
01760,30432,MA,-71.35741,42.287476,MA,NATICK
01770,3998,MA,-71.378717,42.233088,MA,SHERBORN
01772,6122,MA,-71.531997,42.293919,MA,SOUTHBOROUGH
01773,4515,MA,-71.313723,42.421723,MA,LINCOLN
01775,5328,MA,-71.515019,42.430785,MA,STOW
01776,14358,MA,-71.428159,42.383655,MA,SUDBURY
01778,11874,MA,-71.358781,42.348629,MA,WAYLAND
01801,36152,MA,-71.157404,42.482894,MA,WOBURN
01803,23093,MA,-71.200437,42.508942,MA,BURLINGTON
01810,29161,MA,-71.156481,42.64956,MA,ANDOVER
01821,28899,MA,-71.251754,42.551874,MA,BILLERICA
01824,24457,MA,-71.357521,42.59356,MA,SOUTH CHELMSFORD
01826,25594,MA,-71.318592,42.676422,MA,DRACUT
01827,2166,MA,-71.495201,42.673917,MA,DUNSTABLE
01830,22445,MA,-71.072057,42.785605,MA,HAVERHILL
01832,16860,MA,-71.109519,42.779154,MA,HAVERHILL
01833,6384,MA,-70.982239,42.728067,MA,GEORGETOWN
01834,5214,MA,-71.027018,42.753027,MA,GROVELAND
01835,12078,MA,-71.08549,42.758597,MA,BRADFORD
01840,2728,MA,-71.16381,42.707958,MA,LAWRENCE
01841,45555,MA,-71.166997,42.711545,MA,LAWRENCE
01843,22285,MA,-71.160506,42.691053,MA,LAWRENCE
01844,39664,MA,-71.181031,42.728019,MA,METHUEN
01845,22792,MA,-71.109004,42.682583,MA,NORTH ANDOVER
01850,15434,MA,-71.305078,42.656035,MA,LOWELL
01851,28154,MA,-71.332882,42.631548,MA,LOWELL
01852,33379,MA,-71.298331,42.634413,MA,LOWELL
01854,26472,MA,-71.335464,42.649254,MA,LOWELL
01860,5196,MA,-71.004658,42.834629,MA,MERRIMAC
01862,8720,MA,-71.290217,42.575694,MA,NORTH BILLERICA
01863,7878,MA,-71.390834,42.634737,MA,NORTH CHELMSFORD
01864,12002,MA,-71.094711,42.581898,MA,NORTH READING
01867,22539,MA,-71.109021,42.527986,MA,READING
01876,27269,MA,-71.223224,42.60283,MA,TEWKSBURY
01879,8643,MA,-71.415766,42.672383,MA,TYNGSBORO
01880,24830,MA,-71.068471,42.500886,MA,WAKEFIELD
01886,16430,MA,-71.438143,42.589959,MA,GRANITEVILLE
01887,17647,MA,-71.172306,42.558143,MA,WILMINGTON
01890,20232,MA,-71.14407,42.453028,MA,WINCHESTER
01901,1187,MA,-70.945516,42.463378,MA,LYNN
01902,41625,MA,-70.941989,42.469814,MA,LYNN
01904,17073,MA,-70.962798,42.487453,MA,EAST LYNN
01905,21360,MA,-70.973825,42.46453,MA,WEST LYNN
01906,25487,MA,-71.011093,42.463344,MA,SAUGUS
01907,13650,MA,-70.909774,42.474611,MA,SWAMPSCOTT
01908,3828,MA,-70.927739,42.426098,MA,NAHANT
01913,14970,MA,-70.936681,42.855879,MA,AMESBURY
01915,38259,MA,-70.875939,42.560825,MA,BEVERLY
01921,6249,MA,-71.011372,42.679719,MA,BOXFORD
01922,2006,MA,-70.935053,42.756792,MA,BYFIELD
01923,23977,MA,-70.942461,42.569402,MA,DANVERS
01929,3260,MA,-70.782794,42.628629,MA,ESSEX
01930,28716,MA,-70.672149,42.620836,MA,GLOUCESTER
01938,11864,MA,-70.849353,42.680877,MA,IPSWICH
01940,11274,MA,-71.033873,42.532711,MA,LYNNFIELD
01944,5286,MA,-70.767434,42.57963,MA,MANCHESTER
01945,19971,MA,-70.865291,42.498431,MA,MARBLEHEAD
01949,4921,MA,-71.013004,42.594184,MA,MIDDLETON
01950,16317,MA,-70.884668,42.812964,MA,NEWBURYPORT
01951,3710,MA,-70.847377,42.783475,MA,NEWBURY
01952,6879,MA,-70.858822,42.850678,MA,SALISBURY
01960,47685,MA,-70.961194,42.532579,MA,PEABODY
01966,7482,MA,-70.619424,42.657973,MA,ROCKPORT
01969,4368,MA,-70.90696,42.713753,MA,ROWLEY
01970,37642,MA,-70.900343,42.515114,MA,SALEM
01982,7288,MA,-70.856132,42.618478,MA,SOUTH HAMILTON
01983,5763,MA,-70.948843,42.641546,MA,TOPSFIELD
01984,4148,MA,-70.878622,42.60166,MA,WENHAM
01985,3421,MA,-70.977811,42.794865,MA,WEST NEWBURY
02019,14873,MA,-71.476829,42.074573,MA,BELLINGHAM
02021,18530,MA,-71.135536,42.164454,MA,CANTON
02025,7075,MA,-70.812788,42.239484,MA,COHASSET
02026,23782,MA,-71.163741,42.243685,MA,DEDHAM
02030,4915,MA,-71.285363,42.236233,MA,DOVER
02032,3844,MA,-71.2179,42.15324,MA,EAST WALPOLE
02035,14293,MA,-71.244127,42.064938,MA,FOXBORO
02038,22128,MA,-71.405786,42.09347,MA,FRANKLIN
02043,19821,MA,-70.891051,42.224485,MA,HINGHAM
02045,10466,MA,-70.875442,42.285346,MA,HULL
02048,16676,MA,-71.217775,42.021238,MA,MANSFIELD
